subject,predicate,object
http://www.drugtargetontology.org/dto/DTO_02100465,Definitions,"An encephalopsin that is encoded in the genome of human. [PRO:WCB, UniProtKB:Q9H1Y3] "
http://www.drugtargetontology.org/dto/DTO_02100465,Parents,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_02100465,definition,"An encephalopsin that is encoded in the genome of human. [PRO:WCB, UniProtKB:Q9H1Y3] "
http://www.drugtargetontology.org/dto/DTO_02100465,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_02100465
http://www.drugtargetontology.org/dto/DTO_02100465,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/Q9H1Y3
http://www.drugtargetontology.org/dto/DTO_02100465,http://www.drugtargetontology.org/dto/geneSymbol,OPN3
http://www.drugtargetontology.org/dto/DTO_02100465,http://www.drugtargetontology.org/dto/geneSynonym,ECPN
http://www.drugtargetontology.org/dto/DTO_02100465,http://www.drugtargetontology.org/dto/uniprot_xref,Q9H1Y3
http://www.drugtargetontology.org/dto/DTO_02100465,http://www.w3.org/2000/01/rdf-schema#label,Opsin-3
http://www.drugtargetontology.org/dto/DTO_02100465,Class ID_0,http://www.drugtargetontology.org/dto/DTO_02100465
http://purl.obolibrary.org/obo/DOID_10017,Preferred Label,"[""multiple endocrine neoplasia type 1""]"
http://purl.obolibrary.org/obo/DOID_10017,Definitions,"An autosomal dominant disease that has_material_basis_in a mutation in the MEN1 tumor suppressor gene and is characterized by over active endocrine glands frequently involving tumors of the parathyroid glands, the pituitary gland, and the pancreas."
http://purl.obolibrary.org/obo/DOID_10017,Parents,http://purl.obolibrary.org/obo/DOID_0050736
http://purl.obolibrary.org/obo/DOID_10017,definition,"An autosomal dominant disease that has_material_basis_in a mutation in the MEN1 tumor suppressor gene and is characterized by over active endocrine glands frequently involving tumors of the parathyroid glands, the pituitary gland, and the pancreas."
http://purl.obolibrary.org/obo/DOID_10017,http://data.bioontology.org/metadata/prefixIRI,DOID:10017
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref,ICD10CM:E31.21
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_0,SNOMEDCT_US_2016_03_01:30664006
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_1,MESH:D018761
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_2,UMLS_CUI:C0025267
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_3,OMIM:131100
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_4,SNOMEDCT_US_2016_03_01:190566000
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_5,NCI:C3225
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_6,ICD9CM:258.01
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasDbXref_7,ORDO:652
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasExactSynonym,Wermer's syndrome
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasExactSynonym_0,multiple endocrine neoplasia type 1
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasExactSynonym_1,MEN type I
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasExactSynonym_2,Wermer syndrome
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/id,DOID:10017
http://purl.obolibrary.org/obo/DOID_10017,http://purl.obolibrary.org/obo/inSubset,http://purl.obolibrary.org/obo/doid#DO_rare_slim
http://purl.obolibrary.org/obo/DOID_10017,http://www.w3.org/2000/01/rdf-schema#comment,OMIM mapping confirmed by DO. [SN].
http://purl.obolibrary.org/obo/DOID_10017,http://www.w3.org/2000/01/rdf-schema#label,multiple endocrine neoplasia type 1
http://purl.obolibrary.org/obo/DOID_10017,imported from,http://purl.obolibrary.org/obo/doid.owl
http://purl.obolibrary.org/obo/DOID_10017,Class ID_0,http://purl.obolibrary.org/obo/DOID_10017
http://purl.obolibrary.org/obo/DOID_10016,Preferred Label,"[""multiple endocrine neoplasia type 2B""]"
http://purl.obolibrary.org/obo/DOID_10016,Definitions,"An autosomal dominant disease characterized by medullary thyroid carcinoma, pheochromocytoma, multiple mucosal neuromas and intestinal ganglioneuromas, and often a marfanoid habitus and other skeletal abnormalities."
http://purl.obolibrary.org/obo/DOID_10016,Parents,http://purl.obolibrary.org/obo/DOID_0050736
http://purl.obolibrary.org/obo/DOID_10016,definition,"An autosomal dominant disease characterized by medullary thyroid carcinoma, pheochromocytoma, multiple mucosal neuromas and intestinal ganglioneuromas, and often a marfanoid habitus and other skeletal abnormalities."
http://purl.obolibrary.org/obo/DOID_10016,http://data.bioontology.org/metadata/prefixIRI,DOID:10016
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref,OMIM:162300
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_0,NCI:C3227
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_1,ICD9CM:258.03
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_2,SNOMEDCT_US_2016_03_01:61530001
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_3,ICD10CM:E31.23
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_4,UMLS_CUI:C0025269
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_5,MESH:D018814
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasDbXref_6,ORDO:247709
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym,Wagenmann-Froboese syndrome
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym_0,multiple endocrine neoplasia type 2b
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym_1,"Multiple endocrine neoplasia, type 3"
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym_2,mucosal neuroma syndrome
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym_3,MEN2B
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasExactSynonym_4,MEN type IIB
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/id,DOID:10016
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/inSubset,http://purl.obolibrary.org/obo/doid#DO_rare_slim
http://purl.obolibrary.org/obo/DOID_10016,http://purl.obolibrary.org/obo/inSubset_0,http://purl.obolibrary.org/obo/doid#DO_FlyBase_slim
http://purl.obolibrary.org/obo/DOID_10016,http://www.w3.org/2000/01/rdf-schema#comment,OMIM mapping confirmed by DO. [SN].
http://purl.obolibrary.org/obo/DOID_10016,http://www.w3.org/2000/01/rdf-schema#label,multiple endocrine neoplasia type 2B
http://purl.obolibrary.org/obo/DOID_10016,imported from,http://purl.obolibrary.org/obo/doid.owl
http://purl.obolibrary.org/obo/DOID_10016,Class ID_0,http://purl.obolibrary.org/obo/DOID_10016
http://www.drugtargetontology.org/dto/DTO_02302004,Preferred Label,"[""5-HT5 receptor""]"
http://www.drugtargetontology.org/dto/DTO_02302004,Parents,http://www.drugtargetontology.org/dto/DTO_02300017
http://www.drugtargetontology.org/dto/DTO_02302004,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_02302004
http://www.drugtargetontology.org/dto/DTO_02302004,http://www.w3.org/2000/01/rdf-schema#label,5-HT5 receptor
http://www.drugtargetontology.org/dto/DTO_02302004,Class ID_0,http://www.drugtargetontology.org/dto/DTO_02302004
http://www.drugtargetontology.org/dto/DTO_03300124,Preferred Label,"[""RIPK family""]"
http://www.drugtargetontology.org/dto/DTO_03300124,Parents,http://www.drugtargetontology.org/dto/DTO_03300107
http://www.drugtargetontology.org/dto/DTO_03300124,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_03300124
http://www.drugtargetontology.org/dto/DTO_03300124,http://www.w3.org/2000/01/rdf-schema#label,RIPK family
http://www.drugtargetontology.org/dto/DTO_03300124,Class ID_0,http://www.drugtargetontology.org/dto/DTO_03300124
http://www.drugtargetontology.org/dto/DTO_02100816,Preferred Label,"[""Vasopressin v1b receptor""]"
http://www.drugtargetontology.org/dto/DTO_02100816,Definitions,"A vasopressin V1b receptor that is encoded in the genome of human. [PRO:WCB, UniProtKB:P47901] "
http://www.drugtargetontology.org/dto/DTO_02100816,Parents,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_02100816,definition,"A vasopressin V1b receptor that is encoded in the genome of human. [PRO:WCB, UniProtKB:P47901] "
http://www.drugtargetontology.org/dto/DTO_02100816,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_02100816
http://www.drugtargetontology.org/dto/DTO_02100816,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/P47901
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.drugtargetontology.org/dto/geneSymbol,AVPR1B
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.drugtargetontology.org/dto/geneSynonym,AVPR3
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.drugtargetontology.org/dto/geneSynonym_0,VPR3
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.drugtargetontology.org/dto/uniprot_xref,P47901
http://www.drugtargetontology.org/dto/DTO_02100816,http://www.w3.org/2000/01/rdf-schema#label,Vasopressin v1b receptor
http://www.drugtargetontology.org/dto/DTO_02100816,Class ID_0,http://www.drugtargetontology.org/dto/DTO_02100816
http://www.drugtargetontology.org/dto/DTO_03100345,Preferred Label,"[""Serine/threonine-protein kinase mtor""]"
http://www.drugtargetontology.org/dto/DTO_03100345,Definitions,serine/threonine-protein kinase mtor (MTOR)  with  no mutation  in a nonphosphorylated state
http://www.drugtargetontology.org/dto/DTO_03100345,Definitions_0,"A serine/threonine-protein kinase mTOR that is encoded in the genome of human. [PRO:CL, UniProtKB:P42345] "
http://www.drugtargetontology.org/dto/DTO_03100345,Parents,http://www.drugtargetontology.org/dto/DTO_03391035
http://www.drugtargetontology.org/dto/DTO_03100345,definition,serine/threonine-protein kinase mtor (MTOR)  with  no mutation  in a nonphosphorylated state
http://www.drugtargetontology.org/dto/DTO_03100345,definition_0,"A serine/threonine-protein kinase mTOR that is encoded in the genome of human. [PRO:CL, UniProtKB:P42345] "
http://www.drugtargetontology.org/dto/DTO_03100345,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_03100345
http://www.drugtargetontology.org/dto/DTO_03100345,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/P42345
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSymbol,MTOR
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSynonym,FRAP
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSynonym_0,FRAP1
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSynonym_1,FRAP2
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSynonym_2,RAFT1
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/geneSynonym_3,RAPT1
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.drugtargetontology.org/dto/uniprot_xref,P42345
http://www.drugtargetontology.org/dto/DTO_03100345,http://www.w3.org/2000/01/rdf-schema#label,Serine/threonine-protein kinase mtor
http://www.drugtargetontology.org/dto/DTO_03100345,Class ID_0,http://www.drugtargetontology.org/dto/DTO_03100345
http://purl.obolibrary.org/obo/DOID_3007,Preferred Label,"[""breast ductal carcinoma""]"
http://purl.obolibrary.org/obo/DOID_3007,Definitions,A breast carcinoma that derives_from the lining of milk ducts.
http://purl.obolibrary.org/obo/DOID_3007,Parents,http://purl.obolibrary.org/obo/DOID_3459
http://purl.obolibrary.org/obo/DOID_3007,definition,A breast carcinoma that derives_from the lining of milk ducts.
http://purl.obolibrary.org/obo/DOID_3007,http://data.bioontology.org/metadata/prefixIRI,DOID:3007
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/hasDbXref,UMLS_CUI:C1176475
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/hasDbXref_0,MESH:D044584
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/hasDbXref_1,SNOMEDCT_US_2016_03_01:82711006
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/hasExactSynonym,"duct carcinoma, NOS"
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/id,DOID:3007
http://purl.obolibrary.org/obo/DOID_3007,http://purl.obolibrary.org/obo/inSubset,http://purl.obolibrary.org/obo/doid#DO_cancer_slim
http://purl.obolibrary.org/obo/DOID_3007,http://www.w3.org/2000/01/rdf-schema#label,breast ductal carcinoma
http://purl.obolibrary.org/obo/DOID_3007,imported from,http://purl.obolibrary.org/obo/doid.owl
http://purl.obolibrary.org/obo/DOID_3007,Class ID_0,http://purl.obolibrary.org/obo/DOID_3007
http://purl.obolibrary.org/obo/DOID_13096,Preferred Label,"[""Sneddon syndrome""]"
http://purl.obolibrary.org/obo/DOID_13096,Parents,http://purl.obolibrary.org/obo/DOID_0050828
http://purl.obolibrary.org/obo/DOID_13096,http://data.bioontology.org/metadata/prefixIRI,DOID:13096
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasDbXref,SNOMEDCT_US_2016_03_01:238776001
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasDbXref_0,OMIM:182410
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasDbXref_1,UMLS_CUI:C0282492
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasDbXref_2,MESH:D018860
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasExactSynonym,Idiopathic livedo reticularis with systemic involvement (disorder)
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_13096,http://purl.obolibrary.org/obo/id,DOID:13096
http://purl.obolibrary.org/obo/DOID_13096,http://www.w3.org/2000/01/rdf-schema#label,Sneddon syndrome
http://purl.obolibrary.org/obo/DOID_13096,imported from,http://purl.obolibrary.org/obo/doid.owl
http://purl.obolibrary.org/obo/DOID_13096,Class ID_0,http://purl.obolibrary.org/obo/DOID_13096
http://purl.obolibrary.org/obo/DOID_13099,Preferred Label,"[""Moyamoya disease""]"
http://purl.obolibrary.org/obo/DOID_13099,Definitions,A cerebral arterial disease characterized by constriction of certain arteries at the base of the brain. Blood flow is blocked by the constriction and also by blood clots.
http://purl.obolibrary.org/obo/DOID_13099,Parents,http://purl.obolibrary.org/obo/DOID_3527
http://purl.obolibrary.org/obo/DOID_13099,definition,A cerebral arterial disease characterized by constriction of certain arteries at the base of the brain. Blood flow is blocked by the constriction and also by blood clots.
http://purl.obolibrary.org/obo/DOID_13099,http://data.bioontology.org/metadata/prefixIRI,DOID:13099
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref,SNOMEDCT_US_2016_03_01:89142007
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_0,ORDO:2573
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_1,NCI:C84895
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_2,OMIM:608796
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_3,SNOMEDCT_US_2016_03_01:69116000
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_4,OMIM:614042
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_5,ORDO:401945
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_6,ORDO:280679
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_7,ICD9CM:437.5
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_8,OMIM:252350
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_9,ICD10CM:I67.5
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_10,OMIM:615750
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_11,OMIM:300845
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_12,MESH:D009072
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_13,OMIM:607151
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasDbXref_14,UMLS_CUI:C0026654
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasExactSynonym,progressive intracranial arterial occlusion
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/id,DOID:13099
http://purl.obolibrary.org/obo/DOID_13099,http://purl.obolibrary.org/obo/inSubset,http://purl.obolibrary.org/obo/doid#DO_rare_slim
http://purl.obolibrary.org/obo/DOID_13099,http://www.w3.org/2000/01/rdf-schema#comment,"Xref MGI.
OMIM mapping confirmed by DO. [SN]."
http://purl.obolibrary.org/obo/DOID_13099,http://www.w3.org/2000/01/rdf-schema#label,Moyamoya disease
http://purl.obolibrary.org/obo/DOID_13099,imported from,http://purl.obolibrary.org/obo/doid.owl
http://purl.obolibrary.org/obo/DOID_13099,Class ID_0,http://purl.obolibrary.org/obo/DOID_13099
http://www.drugtargetontology.org/dto/DTO_02100110,Preferred Label,"[""Frizzled-8""]"
http://www.drugtargetontology.org/dto/DTO_02100110,Definitions,"A frizzled-8 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q9H461] "
http://www.drugtargetontology.org/dto/DTO_02100110,Parents,http://www.drugtargetontology.org/dto/DTO_02300043
http://www.drugtargetontology.org/dto/DTO_02100110,definition,"A frizzled-8 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q9H461] "
http://www.drugtargetontology.org/dto/DTO_02100110,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_02100110
http://www.drugtargetontology.org/dto/DTO_02100110,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/Q9H461
http://www.drugtargetontology.org/dto/DTO_02100110,http://www.drugtargetontology.org/dto/geneSymbol,FZD8
http://www.drugtargetontology.org/dto/DTO_02100110,http://www.drugtargetontology.org/dto/uniprot_xref,Q9H461
http://www.drugtargetontology.org/dto/DTO_02100110,http://www.w3.org/2000/01/rdf-schema#label,Frizzled-8
http://www.drugtargetontology.org/dto/DTO_02100110,Class ID_0,http://www.drugtargetontology.org/dto/DTO_02100110
http://www.drugtargetontology.org/dto/DTO_02100128,Preferred Label,"[""Protein gpr107""]"
http://www.drugtargetontology.org/dto/DTO_02100128,Definitions,"A protein GPR107 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q5VW38] "
http://www.drugtargetontology.org/dto/DTO_02100128,Parents,http://www.drugtargetontology.org/dto/DTO_02300051
http://www.drugtargetontology.org/dto/DTO_02100128,definition,"A protein GPR107 that is encoded in the genome of human. [PRO:DNx, UniProtKB:Q5VW38] "
http://www.drugtargetontology.org/dto/DTO_02100128,http://data.bioontology.org/metadata/prefixIRI,dto:DTO_02100128
http://www.drugtargetontology.org/dto/DTO_02100128,http://purl.obolibrary.org/obo/hasDbXref,https://pharos.nih.gov/idg/targets/Q5VW38
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.drugtargetontology.org/dto/geneSymbol,GPR107
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.drugtargetontology.org/dto/geneSynonym,KIAA1624
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.drugtargetontology.org/dto/geneSynonym_0,LUSTR1
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.drugtargetontology.org/dto/uniprot_xref,Q5VW38
http://www.drugtargetontology.org/dto/DTO_02100128,http://www.w3.org/2000/01/rdf-schema#label,Protein gpr107
http://www.drugtargetontology.org/dto/DTO_02100128,Class ID_0,http://www.drugtargetontology.org/dto/DTO_02100128
http://purl.obolibrary.org/obo/BTO_0001054,Preferred Label,"[""pheochromocytoma cell""]"
http://purl.obolibrary.org/obo/BTO_0001054,Definitions,"Pheochromocytoma is a rare tumor that arises from tissue in the adrenal gland. The tumor increases production of adrenaline and noradrenaline, which raises blood pressure and heart rate."
http://purl.obolibrary.org/obo/BTO_0001054,Parents,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/BTO_0001054,Parents_0,http://purl.obolibrary.org/obo/BTO_0000592
http://purl.obolibrary.org/obo/BTO_0001054,definition,"Pheochromocytoma is a rare tumor that arises from tissue in the adrenal gland. The tumor increases production of adrenaline and noradrenaline, which raises blood pressure and heart rate."
http://purl.obolibrary.org/obo/BTO_0001054,http://data.bioontology.org/metadata/prefixIRI,BTO:0001054
http://purl.obolibrary.org/obo/BTO_0001054,http://purl.obolibrary.org/obo/hasOBONamespace,BrendaTissueOBO
http://purl.obolibrary.org/obo/BTO_0001054,http://purl.obolibrary.org/obo/id,BTO:0001054
http://purl.obolibrary.org/obo/BTO_0001054,http://www.w3.org/2000/01/rdf-schema#label,pheochromocytoma cell
http://purl.obolibrary.org/obo/BTO_0001054,imported from,http://purl.obolibrary.org/obo/bto.owl
http://purl.obolibrary.org/obo/BTO_0001054,Class ID_0,http://purl.obolibrary.org/obo/BTO_0001054
http://purl.obolibrary.org/obo/DOID_13543,Preferred Label,"[""hyperparathyroidism""]"
http://purl.obolibrary.org/obo/DOID_13543,Definitions,"A parathyroid gland disease characterized by an overactivity of the parathyroid glands, leading to an excess of parathyroid hormone in the body."
http://purl.obolibrary.org/obo/DOID_13543,Parents,http://purl.obolibrary.org/obo/DOID_11201
http://purl.obolibrary.org/obo/DOID_13543,definition,"A parathyroid gland disease characterized by an overactivity of the parathyroid glands, leading to an excess of parathyroid hormone in the body."
http://purl.obolibrary.org/obo/DOID_13543,http://data.bioontology.org/metadata/prefixIRI,DOID:13543
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref,ICD9CM:252.00
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_0,OMIM:145001
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_1,OMIM:610071
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_2,SNOMEDCT_US_2016_03_01:190451000
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_3,OMIM:145000
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_4,MESH:D006961
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_5,SNOMEDCT_US_2016_03_01:154696001
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_6,ORDO:99879
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_7,ICD9CM:252.0
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_8,SNOMEDCT_US_2016_03_01:66999008
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_9,NCI:C48259
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_10,ICD10CM:E21.3
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasDbXref_11,UMLS_CUI:C0020502
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/hasOBONamespace,disease_ontology
http://purl.obolibrary.org/obo/DOID_13543,http://purl.obolibrary.org/obo/id,DOID:13543
http://purl.obolibrary.org/obo/DOID_13543,http://www.w3.org/2000/01/rdf-schema#comment,Xref MGI.
http://purl.obolibrary.org/obo/DOID_13543,http://www.w3.org/2000/01/rdf-schema#label,hyperparathyroidism
http://purl.obolibrary.org/obo/DOID_13543,imported from,http://purl.obolibrary.org/obo/doid.owl
